type,i_located,average_pearsonr,average_r2,average_mae,model,order
Random-CV,3,0.727606445464804,0.4775620046501482,1.0361097466646068,SIGN,1
Random-CV,4,0.7240000951373563,0.5013313792398897,1.0089749170266071,SIGN,1
Random-CV,5,0.7252936901899932,0.4965705533893058,1.0161382836944657,SIGN,1
Random-CV,6,0.7270381869324778,0.4976334679948808,1.0144158410465278,SIGN,1
Random-CV,7,0.7152411783560261,0.4811254933999085,1.032581978095464,SIGN,1
Random-CV,8,0.7261666104138597,0.4963667013047734,1.0215667192652935,SIGN,1
Random-CV,9,0.7210385408069616,0.4810575472297785,1.0300918181086522,SIGN,1
Random-CV,10,0.7216844071088997,0.4934468372424101,1.0146199447434598,SIGN,1
Pfam-CV,1,0.4613,-0.3244,1.6668,LR::V,11
Pfam-CV,2,0.4621333333333333,-0.28543333333333337,1.6499,LR::V,11
Pfam-CV,3,0.4542333333333333,-0.2974333333333334,1.6499,LR::V,11
Pfam-CV,4,0.4639666666666667,-0.3454,1.6705,LR::V,11
Pfam-CV,5,0.4421,-0.32666666666666666,1.656,LR::V,11
Pfam-CV,6,0.4597666666666667,-0.3321666666666667,1.6645333333333332,LR::V,11
Pfam-CV,7,0.4585333333333333,-0.3568,1.6808666666666667,LR::V,11
Pfam-CV,8,0.4513333333333334,-0.3533,1.6756,LR::V,11
Pfam-CV,9,0.4601333333333333,-0.3408,1.6645333333333336,LR::V,11
Pfam-CV,10,0.4632333333333333,-0.3523333333333333,1.693266666666667,LR::V,11
Seq-CV,1,0.4485666666666666,-0.33346666666666663,1.6524,LR::V,11
Seq-CV,2,0.4617666666666666,-0.3066,1.6532666666666664,LR::V,11
Seq-CV,3,0.4548,-0.32286666666666664,1.6569666666666667,LR::V,11
Seq-CV,4,0.4600333333333334,-0.3084333333333333,1.6539,LR::V,11
Seq-CV,5,0.4536,-0.2980333333333333,1.6397666666666666,LR::V,11
Seq-CV,6,0.4548333333333334,-0.2841666666666667,1.6418333333333333,LR::V,11
Seq-CV,7,0.4522333333333333,-0.3073666666666666,1.6386666666666667,LR::V,11
Seq-CV,8,0.4623666666666666,-0.2977666666666667,1.6506666666666667,LR::V,11
Seq-CV,9,0.4649333333333334,-0.3135333333333333,1.6605333333333334,LR::V,11
Seq-CV,10,0.4544666666666666,-0.31883333333333336,1.6592333333333331,LR::V,11
Random-CV,1,0.4642,-0.259,1.6296666666666668,LR::V,11
Random-CV,2,0.4640666666666666,-0.2620666666666667,1.6312999999999998,LR::V,11
Random-CV,3,0.4641,-0.25766666666666665,1.6299,LR::V,11
Random-CV,4,0.4661,-0.25780000000000003,1.6297666666666668,LR::V,11
Random-CV,5,0.4653333333333333,-0.2551,1.6290333333333331,LR::V,11
Random-CV,6,0.4657666666666666,-0.2590333333333333,1.6300666666666668,LR::V,11
Random-CV,7,0.4648666666666667,-0.2569333333333333,1.6297666666666666,LR::V,11
Random-CV,8,0.4647333333333334,-0.2573333333333333,1.6286666666666667,LR::V,11
Random-CV,9,0.4658,-0.2558,1.6290000000000002,LR::V,11
Random-CV,10,0.4655,-0.2569333333333333,1.6289333333333331,LR::V,11
Core,1,0.7581,0.5651,1.152,GraphBAR,7
Core,1,0.7992,0.6067,1.071,IGN,12
